,Week,Home Team,Away Team,Conference Game,Jackson Guess,Jameson Guess,Actual Line,Jackson Distance,Jameson Distance,Score
0,3,wake forest,nc state,ACC,6,7,7,1,0,1
1,3,houston,colorado,Big 12,-2,pick,-6,4,6,0
2,3,arizona,kansas state,Big 12,3,pick,pick,3,0,1
3,3,ucla,new mexico,,-14,-16,-14,0,2,0
4,3,troy,memphis,,10,11,9,1,2,-1
5,3,temple,oklahoma,,31,26,28,3,2,0
6,3,northwestern,oregon,Big Ten,31,30,25,6,5,1
7,3,kent state,buffalo,MAC,20,20,20,0,0,1
8,3,michigan,central michigan,,25,25,26,1,1,1
9,3,georgia tech,clemson,ACC,12,6,6,6,0,2
10,3,alabama,wisconsin,,-21,-20,-19,2,1,3
11,3,auburn,south alabama,,-23,-26,-25,2,1,4
12,3,delaware,uconn,,11,9,9,2,0,5
13,3,tennessee,georgia,SEC,6,6,7,1,1,5
14,3,west virginia,pittsburgh,,pick,pick,-6,6,6,5
15,3,north texas,washington state,,4,-3,-6,10,3,6
16,3,texas tech,oregon state,,-17,-23,-23,6,0,7
17,3,purdue,usc,Big Ten,21,21,19,2,2,7
18,3,missouri state,smu,,28,28,25,3,3,7
19,3,missouri,louisiana,,-20,-23,-21,1,2,6
20,3,arkansas state,iowa state,,20,20,20,0,0,6
21,3,texas,utep,,-42,-43,-38,4,5,5
22,3,miami (fl),south florida,,-18,-16,-15,3,1,6
23,3,bowling green,liberty,,8,6,4,4,2,7
24,3,fiu,florida atlantic,,pick,1,pick,0,1,6
25,3,southern miss,appalachian state,Sun Belt,6,4,2,4,2,7
26,3,ohio state,ohio,,-33,-31,-33,0,2,6
27,3,virginia tech,old dominion,,-15,-18,-10,5,8,5
28,3,illinois,western michigan,,-26,-23,-24,2,1,6
29,3,georgia southern,jacksonville state,,2,-3,-4,6,1,7
30,3,ole miss,arkansas,SEC,-12,-10,-10,2,0,8
31,3,south carolina,vanderbilt,SEC,-10,-7,-7,3,0,9
32,3,kentucky,eastern michigan,,-31,-25,-23,8,2,10
33,3,lsu,florida,SEC,-6,-8,-8,2,0,11
34,3,notre dame,texas a&m,,-8,-6,-6,2,0,12
35,3,coastal carolina,east carolina,,-3,-2,-8,5,6,11
36,3,louisiana tech,new mexico state,Conference USA,-5,-10,-7,2,3,10
37,3,iowa,umass,,-30,-35,-34,4,1,11
38,3,tulsa,navy,American,15,13,14,1,1,11
39,3,tulane,duke,,2,-2,-4,6,2,12
40,3,wyoming,utah,,-24,-25,-25,1,0,13
41,3,uab,akron,,-12,-10,-11,1,1,13
42,3,utah state,air force,Mountain West,3,-2,4,1,6,12
43,3,nevada,middle tennessee,,-5,-10,-6,1,4,11
44,3,arizona state,texas state,,-17,-14,-13,4,1,12
45,3,california,minnesota,,5,5,2,3,3,12
46,3,stanford,boston college,ACC,13,14,9,4,5,11
