,Week,Home Team,Away Team,Conference Game,Jackson Guess,Jameson Guess,Actual Line,Jackson Distance,Jameson Distance,Score
0,4,charlotte,rice,American,pick,3,4.5,4.5,1.5,1
1,4,oklahoma state,tulsa,,-17,-12,-12.5,4.5,0.5,2
2,4,rutgers,iowa,Big Ten,3,3,3.5,0.5,0.5,2
3,4,army,north texas,American,5,-1,pick,5,1,3
4,4,tcu,smu,,-3,-4,-4.5,1.5,0.5,4
5,4,eastern michigan,louisiana,,10,7,pick,10,7,5
6,4,georgia tech,temple,,-28,-25,-25.5,2.5,0.5,6
7,4,ucf,north carolina,,-3,-3,-3,0,0,6
8,4,miami (oh),unlv,,3,3,3.5,0.5,0.5,6
9,4,east carolina,byu,,16,9,6,10,3,7
10,4,miami (fl),florida,,-7,-7,-8.5,1.5,1.5,7
11,4,louisville,bowling green,,-23,-25,-27.5,4.5,2.5,8
12,4,clemson,syracuse,ACC,-16,-17,-19,3,2,9
13,4,indiana,illinois,Big Ten,-4.5,-5,-5.5,1,0.5,10
14,4,duke,nc state,ACC,-4.5,-6,-4,0.5,2,9
15,4,florida state,kent state,,-44,-42,-39.5,4.5,2.5,10
16,4,western michigan,toledo,MAC,5.5,6,12,6.5,6,11
17,4,buffalo,troy,,4,pick,-11,15,11,12
18,4,wisconsin,maryland,Big Ten,-4,-7,-7,3,0,13
19,4,south alabama,coastal carolina,Sun Belt,-14,-18,-13,1,5,12
20,4,tennessee,uab,,-42,-48,-35,7,13,11
21,4,colorado state,utsa,,3,5,4.5,1.5,0.5,12
22,4,colorado,wyoming,,-12,-18,-12,0,6,11
23,4,utah,texas tech,Big 12,-4,-3,-4,0,1,10
24,4,oregon,oregon state,,-33,-38,-32,1,6,9
25,4,oklahoma,auburn,SEC,-4.5,-6,-6,1.5,0,10
26,4,ole miss,tulane,,-13.5,-13,-10.5,3,2.5,11
27,4,kansas,west virginia,Big 12,-7,-8,-12.5,5.5,4.5,12
28,4,baylor,arizona state,Big 12,-3,-2,-3,0,1,11
29,4,usc,michigan state,Big Ten,-14,-15,-13,1,2,10
30,4,uconn,ball state,,-16,-18,-19,3,1,11
31,4,memphis,arkansas,,6,5,4.5,1.5,0.5,12
32,4,nebraska,michigan,Big Ten,-3,1,1.5,4.5,0.5,13
33,4,notre dame,purdue,,-31,-28,-25,6,3,14
34,4,virginia,stanford,ACC,-7,-10,-17,10,7,15
35,4,missouri,south carolina,SEC,-6.5,-7,-7,0.5,0,16
36,4,mississippi state,northern illinois,,-21,-21,-22,1,1,16
37,4,hawaii,fresno state,Mountain West,pick,-1,6,6,7,15
38,4,liberty,james madison,,3,6,7,4,1,16
39,4,kennesaw state,arkansas state,,10,10,10,0,0,16
40,4,fiu,deleware,,-6,-4,-3,3,1,17
41,4,western kentucky,nevada,,-7,-4,-8,1,4,16
42,4,air force,boise state,Mountain West,6,8,4,2,4,15
43,4,middle tennessee,marshall,,pick,-3,2,2,5,14
44,4,louisiana tech,southern miss,,-3,-3,2,5,5,14
45,4,washington state,washington,,24,23,19,5,4,15
46,4,vanderbilt,georgia state,,-28,-25,-22,6,3,16
47,4,texas,sam houston,,-38,-36,-42,4,6,15
48,4,utep,louisiana-monroe,,pick,-3,-3.5,3.5,0.5,16
49,4,san diego state,california,,7,11,13.5,6.5,2.5,17
