Week,Home Team,Away Team,Conference Game,Jackson Guess,Jameson Guess,Actual Line,Jackson Distance,Jameson Distance,Score
6,south florida,charlotte,American,-13,-20,-25,12,5,1
6,delaware,western kentucky,Conference USA,pick,1,-2,2,3,0
6,san jose state,new mexico,Mountain West,-5,-3,-2,3,1,1
6,byu,west virginia,Big 12,-14,-19,-19,5,0,2
6,san diego state,colorado state,Mountain West,-3,-2,-3,0,1,1
6,appalachian state,oregon state,,-6,-3,-2,4,1,2
6,navy,air force,,-7,-4,-7,0,3,1
6,old dominion,coastal carolina,Sun Belt,-24,-20,-15,9,5,2
6,georgia,kentucky,SEC,-24,-21,-20,4,1,3
6,temple,utsa,American,7,6,8,1,2,2
6,ucf,kansas,Big 12,-4,-7,-4,0,3,1
6,cincinnati,iowa state,Big 12,-1,2,2,3,0,2
6,louisville,virginia,ACC,-4,-8,-7,3,1,3
6,maryland,washington,Big Ten,3,5,7,4,2,4
6,michigan,wisconsin,Big Ten,-8,-16,-16,8,0,5
6,north carolina,clemson,ACC,11,14,14,3,0,6
6,ohio state,minnesota,Big Ten,-17,-11,-22,5,11,5
6,pittsburgh,boston college,ACC,-3,-7,-6,3,1,6
6,virginia tech,wake forest,ACC,-6,-5,-6,0,1,5
6,akron,central michigan,MAC,10,8,7,3,1,6
6,ball state,ohio,MAC,20,15,15,5,0,7
6,buffalo,eastern michigan,MAC,-10,-13,-8,2,5,6
6,umass,western michigan,,8,11,12,4,1,7
6,georgia state,james madison,Sun Belt,13,10,17,4,7,6
6,northwestern,louisiana-monroe,,-10,-11,-12,2,1,7
6,memphis,tulsa,American,-20,-17,-18,2,1,8
6,troy,south alabama,Sun Belt,pick,-0.5,-1,1,0.5,9
6,nebraska,michigan state,Big Ten,-6,-8,-8,2,0,10
6,northern illinois,miami (oh),MAC,pick,1,6,6,5,11
6,arizona,oklahoma state,Big 12,-13,-17,-18,5,1,12
6,california,duke,ACC,5,-2,2,3,4,11
6,ucla,penn state,Big Ten,31,25,24,7,1,12
6,florida,texas,SEC,8,7,7,1,0,13
6,florida state,miami (fl),ACC,4,4,5,1,1,13
6,purdue,illinois,Big Ten,8,9,8,0,1,12
6,alabama,vanderbilt,SEC,-10,-12,-12,2,0,13
6,rice,florida atlantic,American,-3,-5,pick,3,5,12
6,houston,texas tech,Big 12,5,9,9,4,0,13
6,tcu,colorado,Big 12,-13,-13,-13,0,0,13
6,baylor,kansas state,Big 12,-7,-6,-6,1,0,14
6,uab,army,American,5,11,7,2,4,13
6,smu,syracuse,ACC,-12,-14,-15,3,1,14
6,uconn,fiu,,-8,-9,-10,2,1,15
6,notre dame,boise state,,-20,-15,-16,4,1,16
6,oklahoma,kent state,,-42,-42,-42,0,0,16
6,texas a&m,mississippi state,SEC,-15,-12,-12,3,0,17
6,wyoming,unlv,Mountain West,10,7,6,4,1,18
6,arkansas state,texas state,Sun Belt,7,8,10,3,2,19
6,fresno state,nevada,Mountain West,-12,-8,-14,2,6,18
