,Week,Home Team,Away Team,Conference Game,Jackson Guess,Jameson Guess,Actual Line,Jackson Distance,Jameson Distance,Score
0,1,nc state,east carolina,,-13,-16.5,-11.5,1.5,5,-1
1,1,south florida,boise state,,12.5,9,6,6.5,3,0
2,1,ucf,jacksonville state,,-10,-11,-18.5,8.5,7.5,1
3,1,akron,wyoming,,16,8,7,9,1,2
4,1,rutgers,ohio,,-11,-16,-14,3,2,3
5,1,cincinnati,nebraska,,3,6,6.5,3.5,0.5,4
6,1,minnesota,buffalo,,-21,-20,-18,3,2,5
7,1,wisconsin,miami (oh),,-23,-18.5,-17.5,5.5,1,6
8,1,san jose state,central michigan,,-9,-6.5,-12,3,5.5,5
9,1,charlotte,appalachian state,,4,2.5,7,3,4.5,4
10,1,wake forest,kennesaw state,,-27.5,-21,-17.5,10,3.5,5
11,1,baylor,auburn,,4,2,2,2,0,6
12,1,sam houston,unlv,,6,-3,10.5,4.5,13.5,5
13,1,colorado,georgia tech,,-3,3.5,4,7,0.5,6
14,1,michigan state,western michigan,,-24,-13,-20,4,7,5
15,1,purdue,ball state,,-17,-16,-17,0,1,4
16,1,penn state,nevada,,-38,-43.5,-44,6,0.5,5
17,1,indiana,old dominion,,-18,-25,-23,5,2,6
18,1,michigan,new mexico,,-35,-41,-36,1,5,5
19,1,umass,temple,,2,-3,2.5,0.5,5.5,4
20,1,tennessee,syracuse,,-14,-13,-14,0,1,3
21,1,maryland,florida atlantic,,-21,-20,-15,6,5,4
22,1,virginia,coastal carolina,,-6.5,-11,-11.5,5,0.5,5
23,1,ohio state,texas,,-3,-3,-2,1,1,5
24,1,georgia,marshall,,-42,-36,-38.5,3.5,2.5,6
25,1,kentucky,toledo,,-14,-15,-7.5,6.5,7.5,5
26,1,utah state,utep,,-3,-5,-6,3,1,6
27,1,washington,colorado state,,-20,-19,-20,0,1,5
28,1,arizona,hawaii,,-12,-17,-16.5,4.5,0.5,6
29,1,fresno state,georgia southern,,-7,-9,pick,7,9,5
30,1,ucla,utah,,3,4,6.5,3.5,2.5,6
31,1,tulane,northwestern,,-3,-5,-6,3,1,7
32,1,southern miss,mississippi state,,13,13,11.5,1.5,1.5,7
33,1,ole miss,georgia state,,-28,-31,-38,10,7,8
34,1,texas state,eastern michigan,,-13,-19,-14,1,5,7
35,1,florida state,alabama,,23,11,13.5,9.5,2.5,8
36,1,texas a&m,utsa,,-28,-22,-23,5,1,9
37,1,louisiana,rice,,-7.5,-11,-13.5,6,2.5,10
38,1,usc,missouri state,,-38,-36,-35,3,1,11
39,1,clemson,lsu,,-3,-3,-4,1,1,11
40,1,oregon state,california,,4,3,-3,7,6,12
41,1,south carolina,virginia tech,,-12,-13,-8,4,5,11
42,1,miami (fl),notre dame,,2,2,2.5,0.5,0.5,11
43,1,north carolina,tcu,,-5,-2,3.5,8.5,5.5,12
